[2026-07-03 10:31:08] [NodeB] [main] [INFO] Starting NodeB on port 7002
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:08] [NodeB] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:32:09] [NodeB] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:53788
[2026-07-03 10:32:09] [NodeB] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:53790
[2026-07-03 10:32:10] [NodeB] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:53806
[2026-07-03 10:32:10] [NodeB] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:53820
[2026-07-03 10:32:11] [NodeB] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:53834
[2026-07-03 10:32:11] [NodeB] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:53844
[2026-07-03 10:32:12] [NodeB] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:53848
[2026-07-03 10:32:12] [NodeB] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:53850
[2026-07-03 10:32:13] [NodeB] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:53866
[2026-07-03 10:32:13] [NodeB] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:53876
[2026-07-03 10:32:14] [NodeB] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:54130
[2026-07-03 10:32:14] [NodeB] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:54132
[2026-07-03 10:32:15] [NodeB] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:54142
[2026-07-03 10:32:15] [NodeB] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:54156
[2026-07-03 10:32:16] [NodeB] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:54166
[2026-07-03 10:32:16] [NodeB] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:54182
[2026-07-03 10:32:17] [NodeB] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:54192
[2026-07-03 10:32:17] [NodeB] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:54198
[2026-07-03 10:32:18] [NodeB] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:54200
[2026-07-03 10:32:18] [NodeB] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:54214
[2026-07-03 10:32:19] [NodeB] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:54224
