[2026-07-03 10:31:07] [NodeA] [main] [INFO] Starting NodeA on port 7001
NodeA-vnode-0 -> 3666113118
NodeA-vnode-1 -> 1566572255
NodeB-vnode-0 -> 1321808847
NodeB-vnode-1 -> 1704796036
NodeC-vnode-0 -> 725020868
NodeC-vnode-1 -> 2661147323
[2026-07-03 10:31:07] [NodeA] [main] [INFO] HeartbeatManager started (interval=1000ms)
[2026-07-03 10:32:06] [NodeA] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:54558
[2026-07-03 10:32:07] [NodeA] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:54572
[2026-07-03 10:32:07] [NodeA] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:54576
[2026-07-03 10:32:08] [NodeA] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:54592
[2026-07-03 10:32:08] [NodeA] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:54594
[2026-07-03 10:32:09] [NodeA] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:54596
[2026-07-03 10:32:09] [NodeA] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:54604
[2026-07-03 10:32:10] [NodeA] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:54618
[2026-07-03 10:32:10] [NodeA] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:54622
[2026-07-03 10:32:11] [NodeA] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:54628
[2026-07-03 10:32:11] [NodeA] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:54640
[2026-07-03 10:32:12] [NodeA] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:54652
[2026-07-03 10:32:12] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:54666
[2026-07-03 10:32:13] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:54676
[2026-07-03 10:32:13] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:54688
[2026-07-03 10:32:14] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:60990
[2026-07-03 10:32:14] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:60994
[2026-07-03 10:32:15] [NodeA] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:32768
[2026-07-03 10:32:15] [NodeA] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:32778
[2026-07-03 10:32:16] [NodeA] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:32792
[2026-07-03 10:32:16] [NodeA] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:32804
[2026-07-03 10:32:17] [NodeA] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:32810
[2026-07-03 10:32:17] [NodeA] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:32818
[2026-07-03 10:32:18] [NodeA] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:32834
[2026-07-03 10:32:18] [NodeA] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:32838
[2026-07-03 10:32:19] [NodeA] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:32848
[2026-07-03 10:32:19] [NodeA] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:32854
[2026-07-03 10:32:20] [NodeA] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:32864
[2026-07-03 10:32:20] [NodeA] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:32866
[2026-07-03 10:32:21] [NodeA] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:32880
[2026-07-03 10:32:21] [NodeA] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:32884
[2026-07-03 10:32:22] [NodeA] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:32892
[2026-07-03 10:32:22] [NodeA] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:32904
[2026-07-03 10:32:23] [NodeA] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:32920
[2026-07-03 10:32:23] [NodeA] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:32928
[2026-07-03 10:32:24] [NodeA] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:49196
[2026-07-03 10:32:24] [NodeA] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:49200
[2026-07-03 10:32:25] [NodeA] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:49204
[2026-07-03 10:32:25] [NodeA] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:49220
[2026-07-03 10:32:26] [NodeA] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:49222
[2026-07-03 10:32:26] [NodeA] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:49230
[2026-07-03 10:32:27] [NodeA] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:49240
[2026-07-03 10:32:27] [NodeA] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:49250
[2026-07-03 10:32:28] [NodeA] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:49262
[2026-07-03 10:32:28] [NodeA] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:49266
[2026-07-03 10:32:29] [NodeA] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:49270
[2026-07-03 10:32:29] [NodeA] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:49278
[2026-07-03 10:32:30] [NodeA] [pool-1-thread-40] [INFO] Client connected: /127.0.0.1:49294
[2026-07-03 10:32:30] [NodeA] [pool-1-thread-41] [INFO] Client connected: /127.0.0.1:49298
[2026-07-03 10:32:31] [NodeA] [pool-1-thread-42] [INFO] Client connected: /127.0.0.1:49308
[2026-07-03 10:32:31] [NodeA] [pool-1-thread-43] [INFO] Client connected: /127.0.0.1:49320
[2026-07-03 10:32:32] [NodeA] [pool-1-thread-44] [INFO] Client connected: /127.0.0.1:49334
[2026-07-03 10:32:32] [NodeA] [pool-1-thread-45] [INFO] Client connected: /127.0.0.1:49344
[2026-07-03 10:32:33] [NodeA] [pool-1-thread-46] [INFO] Client connected: /127.0.0.1:49348
[2026-07-03 10:32:33] [NodeA] [pool-1-thread-47] [INFO] Client connected: /127.0.0.1:49352
[2026-07-03 10:32:34] [NodeA] [pool-1-thread-48] [INFO] Client connected: /127.0.0.1:58458
[2026-07-03 10:32:34] [NodeA] [pool-1-thread-49] [INFO] Client connected: /127.0.0.1:58460
[2026-07-03 10:32:35] [NodeA] [pool-1-thread-50] [INFO] Client connected: /127.0.0.1:58462
[2026-07-03 10:32:35] [NodeA] [pool-1-thread-1] [INFO] Client connected: /127.0.0.1:58474
[2026-07-03 10:32:36] [NodeA] [pool-1-thread-2] [INFO] Client connected: /127.0.0.1:58478
[2026-07-03 10:32:36] [NodeA] [pool-1-thread-3] [INFO] Client connected: /127.0.0.1:58480
[2026-07-03 10:32:37] [NodeA] [pool-1-thread-4] [INFO] Client connected: /127.0.0.1:58488
[2026-07-03 10:32:37] [NodeA] [pool-1-thread-5] [INFO] Client connected: /127.0.0.1:58500
[2026-07-03 10:32:38] [NodeA] [pool-1-thread-6] [INFO] Client connected: /127.0.0.1:58508
[2026-07-03 10:32:38] [NodeA] [pool-1-thread-7] [INFO] Client connected: /127.0.0.1:58516
[2026-07-03 10:32:39] [NodeA] [pool-1-thread-8] [INFO] Client connected: /127.0.0.1:58524
[2026-07-03 10:32:39] [NodeA] [pool-1-thread-9] [INFO] Client connected: /127.0.0.1:58530
[2026-07-03 10:32:40] [NodeA] [pool-1-thread-10] [INFO] Client connected: /127.0.0.1:58532
[2026-07-03 10:32:40] [NodeA] [pool-1-thread-11] [INFO] Client connected: /127.0.0.1:58548
[2026-07-03 10:32:41] [NodeA] [pool-1-thread-12] [INFO] Client connected: /127.0.0.1:58562
[2026-07-03 10:32:41] [NodeA] [pool-1-thread-13] [INFO] Client connected: /127.0.0.1:58574
[2026-07-03 10:32:42] [NodeA] [pool-1-thread-14] [INFO] Client connected: /127.0.0.1:58590
[2026-07-03 10:32:42] [NodeA] [pool-1-thread-15] [INFO] Client connected: /127.0.0.1:58592
[2026-07-03 10:32:43] [NodeA] [pool-1-thread-16] [INFO] Client connected: /127.0.0.1:58598
[2026-07-03 10:32:43] [NodeA] [pool-1-thread-17] [INFO] Client connected: /127.0.0.1:58614
[2026-07-03 10:32:44] [NodeA] [pool-1-thread-18] [INFO] Client connected: /127.0.0.1:55416
[2026-07-03 10:32:44] [NodeA] [pool-1-thread-19] [INFO] Client connected: /127.0.0.1:55428
[2026-07-03 10:32:45] [NodeA] [pool-1-thread-20] [INFO] Client connected: /127.0.0.1:55444
[2026-07-03 10:32:45] [NodeA] [pool-1-thread-21] [INFO] Client connected: /127.0.0.1:55452
[2026-07-03 10:32:46] [NodeA] [pool-1-thread-22] [INFO] Client connected: /127.0.0.1:55460
[2026-07-03 10:32:46] [NodeA] [pool-1-thread-23] [INFO] Client connected: /127.0.0.1:55462
[2026-07-03 10:32:47] [NodeA] [pool-1-thread-24] [INFO] Client connected: /127.0.0.1:55464
[2026-07-03 10:32:47] [NodeA] [pool-1-thread-25] [INFO] Client connected: /127.0.0.1:55480
[2026-07-03 10:32:48] [NodeA] [pool-1-thread-26] [INFO] Client connected: /127.0.0.1:55486
[2026-07-03 10:32:48] [NodeA] [pool-1-thread-27] [INFO] Client connected: /127.0.0.1:55502
[2026-07-03 10:32:49] [NodeA] [pool-1-thread-28] [INFO] Client connected: /127.0.0.1:55506
[2026-07-03 10:32:49] [NodeA] [pool-1-thread-29] [INFO] Client connected: /127.0.0.1:55508
[2026-07-03 10:32:50] [NodeA] [pool-1-thread-30] [INFO] Client connected: /127.0.0.1:55510
[2026-07-03 10:32:50] [NodeA] [pool-1-thread-31] [INFO] Client connected: /127.0.0.1:55526
[2026-07-03 10:32:51] [NodeA] [pool-1-thread-32] [INFO] Client connected: /127.0.0.1:55542
[2026-07-03 10:32:51] [NodeA] [pool-1-thread-33] [INFO] Client connected: /127.0.0.1:55558
[2026-07-03 10:32:52] [NodeA] [pool-1-thread-34] [INFO] Client connected: /127.0.0.1:55572
[2026-07-03 10:32:52] [NodeA] [pool-1-thread-35] [INFO] Client connected: /127.0.0.1:55576
[2026-07-03 10:32:53] [NodeA] [pool-1-thread-36] [INFO] Client connected: /127.0.0.1:55590
[2026-07-03 10:32:53] [NodeA] [pool-1-thread-37] [INFO] Client connected: /127.0.0.1:55596
[2026-07-03 10:32:54] [NodeA] [pool-1-thread-38] [INFO] Client connected: /127.0.0.1:35016
[2026-07-03 10:32:54] [NodeA] [pool-1-thread-39] [INFO] Client connected: /127.0.0.1:35026
